"TDS","NO2+NO3","Ca","Mg","Na","K","Cl","SO4","F","HCO3","pH_GEN","HAR_Total","SAR","WQI","ClassLabel-No"
"4913","81","133","96","181","8","595","378","1","266","6","551","5","7214","3"
"4262","61","141","52","136","5","779","244","1","296","7","515","3","6502","3"
"3523","61","135","90","227","2","627","272","1","286","7","543","4","5778","4"
"4333","80","81","94","436","4","709","212","1","525","6","581","7","7069","4"
"3671","100","161","94","393","6","875","289","1","232","8","639","4","6473","2"
"2158","55","177","60","95","4","549","385","1","311","7","844","8","4654","2"
"2556","100","123","53","4","2","287","244","1","347","7","50","6","3780","3"
"4600","58","97","85","511","10","330","296","1","411","6","780","4","7189","1"
"4763","75","100","69","200","4","539","256","1","306","7","809","5","7134","2"
"4914","58","90","42","170","2","373","209","1","368","6","1146","1","7380","3"
"4108","57","170","51","476","1","792","350","1","516","7","370","1","6900","3"
"2880","87","190","53","476","0","375","277","1","395","7","293","7","5041","2"
"3977","54","182","47","163","0","286","225","1","312","6","935","7","6195","1"
"2164","92","148","71","79","6","851","257","1","523","6","838","10","5046","3"
"3854","67","77","88","285","1","256","389","1","511","7","317","10","5863","3"
"2765","85","112","55","77","5","949","213","1","204","7","379","1","4853","4"
"3793","71","76","89","134","6","523","278","1","216","7","936","3","6133","3"
"2761","48","94","32","369","0","567","208","1","410","8","723","2","5223","3"
"2178","66","172","45","158","9","864","311","1","563","8","485","9","4869","4"
"2465","89","87","62","75","6","926","313","1","450","8","86","2","4570","2"
"2523","69","120","59","480","6","465","361","1","292","8","451","6","4841","4"
"2206","58","150","98","201","1","895","265","1","315","8","943","3","5144","3"
"2887","92","162","85","516","8","812","245","1","570","7","890","4","6279","2"
"4719","49","178","61","467","2","958","380","1","349","6","173","9","7352","4"
"2914","72","96","56","501","1","967","354","1","554","7","1016","7","6546","2"
"3356","66","178","98","284","0","785","209","1","410","7","81","10","5485","3"
"4685","80","123","76","117","0","736","368","1","362","8","958","9","7523","2"
"4665","46","143","42","125","11","800","288","1","593","6","415","1","7136","1"
"2300","96","174","46","226","0","631","319","1","436","6","904","3","5142","1"
"2086","66","192","46","85","11","814","241","1","301","8","760","5","4616","3"
"3928","71","164","93","134","8","639","352","1","538","8","350","5","6291","2"
"4171","48","133","41","344","11","870","374","1","207","8","623","6","6837","3"
"2246","47","135","42","490","3","678","396","1","238","7","545","2","4830","3"
"3469","83","145","74","338","0","606","251","1","448","7","524","7","5953","4"
"2442","83","149","99","349","8","365","374","1","257","6","216","1","4350","4"
"2399","81","170","91","314","10","564","266","1","597","7","1050","10","5560","3"
"4333","49","163","51","275","11","662","380","1","598","6","684","8","7221","3"
"3704","82","166","64","405","2","956","251","1","560","7","1024","2","7224","4"
"4074","56","171","90","206","7","688","242","1","216","6","976","5","6738","3"
"4879","46","179","35","272","5","527","278","1","203","7","1133","8","7573","1"
"2997","49","89","78","257","1","990","270","1","540","6","1086","4","6368","3"
"4864","69","75","77","184","2","682","239","1","495","8","791","8","7495","1"
"3800","85","191","65","14","11","468","355","1","518","7","1052","10","6577","2"
"2879","47","125","39","356","7","383","358","1","247","7","448","1","4898","4"
"4069","54","166","36","289","9","780","206","1","446","7","188","4","6255","2"
"2771","88","124","47","117","7","811","278","1","521","6","1023","6","5800","2"
"3811","96","167","59","56","4","380","262","1","342","6","104","10","5298","3"
"2481","47","153","77","496","8","299","307","1","207","8","364","4","4452","4"
"3121","80","190","68","308","3","316","317","1","328","8","306","3","5049","3"
"2416","51","187","62","429","4","580","345","1","264","7","815","2","5163","1"
"3846","65","77","66","258","4","531","239","1","271","6","429","5","5798","3"
"2591","92","182","61","139","0","765","302","1","237","8","780","1","5159","2"
"2416","73","174","67","95","10","844","319","1","215","7","470","3","4694","3"
"4737","91","118","66","183","2","300","387","1","247","6","158","1","6297","3"
"2177","93","199","65","102","10","640","263","1","476","8","206","5","4245","4"
"2822","68","80","50","369","1","460","260","1","445","7","175","5","4743","3"
"2233","69","142","43","283","11","944","275","1","504","7","229","7","4748","1"
"4209","60","150","54","166","2","962","219","1","480","7","575","2","6887","3"
"3711","70","78","98","364","4","773","290","1","354","6","1116","4","6869","1"
"3159","86","101","72","166","3","772","204","1","330","7","1071","9","5981","4"
"3928","65","142","83","423","0","846","265","1","277","7","1053","9","7099","4"
"2598","85","143","43","210","8","307","321","1","206","7","382","1","4312","4"
"3479","59","110","79","79","6","496","244","1","482","8","453","2","5498","1"
"4136","54","172","77","164","7","669","233","1","369","7","92","4","5985","4"
"2598","95","143","57","28","9","327","313","1","241","7","491","9","4319","2"
"4635","81","95","66","414","3","473","357","1","472","8","247","2","6854","3"
"2258","46","189","83","197","9","988","236","1","507","7","734","5","5260","4"
"4706","79","114","98","146","4","711","295","1","382","7","434","6","6983","4"
"2561","60","102","37","397","1","544","205","1","562","7","389","7","4873","3"
"4483","62","181","85","426","10","394","328","1","331","8","103","4","6416","3"
"2080","90","145","66","330","5","508","346","1","220","6","636","1","4434","3"
"3176","97","103","36","467","8","852","363","1","531","8","918","2","6562","3"
"2852","67","146","61","236","3","745","256","1","553","6","583","4","5513","3"
"4092","80","137","87","105","3","897","350","1","342","6","264","2","6366","3"
"3139","99","173","48","326","11","853","341","1","378","7","438","2","5816","3"
"2269","79","137","53","482","1","844","329","1","262","6","345","2","4810","3"
"2972","93","161","86","319","11","617","239","1","517","8","405","1","5430","3"
"2151","91","79","92","46","7","254","225","1","491","8","631","9","4085","3"
"4188","46","133","81","521","1","264","276","1","296","7","69","5","5888","3"
"2668","88","117","67","390","6","664","323","1","293","7","552","8","5184","4"
"2908","72","100","31","252","2","430","330","1","437","7","690","3","5263","3"
"4264","86","136","32","53","7","620","250","1","435","8","632","3","6527","4"
"2314","87","174","69","296","11","915","225","1","241","7","873","7","5220","3"
"2480","52","164","72","204","10","966","391","1","274","6","624","1","5245","1"
"3183","56","173","93","238","2","916","287","1","389","8","587","4","5937","2"
"4745","93","199","75","58","9","602","367","1","537","8","999","4","7697","3"
"2486","99","133","95","465","5","737","336","1","201","8","1073","5","5644","4"
"3126","50","188","74","126","5","740","357","1","529","6","508","8","5718","3"
"2532","96","163","81","388","4","686","344","1","575","8","728","10","5616","4"
"3695","59","89","55","347","3","806","260","1","273","7","67","6","5668","3"
"4096","67","141","51","377","9","938","306","1","424","7","222","3","6642","1"
"2123","77","106","86","99","8","941","373","1","369","8","631","8","4830","2"
"4319","73","130","83","197","3","651","286","1","459","6","1060","4","7272","3"
"3140","100","97","100","344","7","652","268","1","594","7","946","5","6261","1"
"2262","57","151","78","371","10","508","364","1","506","6","192","2","4508","2"
"2818","74","199","45","481","8","272","327","1","557","8","401","3","5194","3"
"4074","61","160","86","474","8","753","375","1","590","7","824","6","7419","3"
"2581","56","75","48","518","2","579","222","1","422","7","1023","6","5540","3"
"4956","71","151","31","109","4","460","325","1","589","6","790","10","7503","2"
"3258","68","147","85","181","10","539","274","1","237","7","46","7","4860","3"
"3289","48","95","81","451","9","992","340","1","555","6","1053","2","6922","1"
"3358","89","200","88","359","6","420","369","1","203","8","944","3","6048","2"
"2522","48","127","81","272","1","607","289","1","449","6","574","9","4986","3"
"4904","64","178","74","21","4","382","292","1","364","7","476","8","6775","3"
"2676","74","197","61","412","10","871","206","1","435","6","202","4","5155","2"
"3524","73","178","91","22","7","841","239","1","392","8","345","7","5728","4"
"4335","74","116","79","40","8","542","260","1","422","8","676","2","6563","3"
"2956","74","109","83","379","9","294","351","1","240","6","719","10","5231","2"
"4363","78","116","76","297","11","653","360","1","537","6","447","10","6955","2"
"4810","75","113","56","118","9","382","340","1","315","6","880","4","7109","3"
"2071","75","124","51","404","2","353","208","1","268","6","1133","1","4697","1"
"2935","82","131","39","186","7","482","200","1","399","6","436","1","4905","4"
"4836","82","152","71","285","1","918","271","1","372","7","151","5","7152","1"
"2415","47","163","84","318","6","304","340","1","534","8","1090","7","5317","2"
"2615","66","143","77","157","11","552","396","1","541","8","662","8","5237","2"
"4641","83","110","70","67","11","548","293","1","302","7","353","2","6488","1"
"2159","59","90","99","313","0","871","330","1","576","6","898","10","5412","3"
"3646","74","102","40","150","0","869","294","1","559","7","637","6","6385","2"
"2627","85","109","89","206","8","296","315","1","450","6","698","8","4898","2"
"3470","78","168","92","90","9","560","218","1","303","7","855","4","5855","2"
"4579","54","88","34","263","11","949","230","1","396","7","486","7","7105","4"
"3421","75","103","98","63","5","786","307","1","469","8","361","7","5704","3"
"2826","98","128","62","9","6","695","244","1","300","7","703","1","5080","2"
"3640","79","135","83","68","11","344","377","1","297","6","964","7","6012","2"
"3216","79","78","66","165","5","402","315","1","506","8","661","1","5503","4"
"2568","82","158","86","514","0","984","374","1","300","6","106","5","5184","4"
"2043","63","166","65","217","0","867","252","1","458","7","224","9","4372","3"
"3010","62","175","94","459","9","629","234","1","473","8","1026","9","6189","3"
"2036","83","135","88","373","8","669","289","1","547","7","693","9","4938","4"
"2358","60","169","59","325","7","545","340","1","541","7","994","1","5407","1"
"3877","65","155","69","79","5","941","398","1","407","8","855","5","6865","4"
"2771","68","116","44","235","3","271","277","1","221","8","171","5","4191","4"
"4260","98","113","61","190","8","976","336","1","313","8","694","8","7066","4"
"2020","48","76","98","236","6","544","237","1","426","7","338","3","4040","4"
"4360","75","167","100","294","7","748","318","1","431","8","256","6","6771","4"
"4029","80","142","57","31","3","419","313","1","570","8","638","4","6295","4"
"3136","65","128","50","524","5","533","400","1","301","7","1098","3","6251","1"
"3787","93","100","75","483","9","411","384","1","375","6","101","10","5835","3"
"4219","82","149","84","246","0","905","229","1","529","6","321","6","6777","4"
"3341","50","107","43","128","1","536","347","1","409","8","798","4","5773","4"
"2103","45","114","88","197","8","569","201","1","594","8","77","1","4006","2"
"3653","49","121","33","6","4","582","349","1","206","7","294","10","5315","1"
"4290","87","145","75","339","11","817","239","1","436","7","645","2","7094","3"
"2361","49","79","83","473","3","631","232","1","244","6","237","8","4407","2"
"4859","79","193","100","290","10","855","219","1","559","6","632","1","7804","3"
"2243","51","135","91","254","1","876","366","1","566","7","718","7","5316","3"
"2676","86","86","93","360","6","401","368","1","379","6","1059","8","5529","4"
"2690","75","95","95","483","4","969","204","1","315","8","65","7","5011","2"
"3707","57","155","59","5","6","772","367","1","227","6","595","4","5961","1"
"2992","45","121","38","523","11","753","329","1","486","6","158","3","5466","1"
"3438","48","157","37","268","6","349","296","1","592","6","730","4","5932","4"
"3850","72","152","64","362","2","941","301","1","596","8","805","5","7159","4"
"2436","91","149","88","136","11","254","315","1","329","7","587","1","4405","3"
"2264","87","84","90","512","4","348","330","1","312","8","807","8","4855","3"
"3649","92","197","30","424","10","628","357","1","482","8","890","10","6778","3"
"3168","56","107","37","323","4","523","346","1","489","7","1065","5","6131","3"
"2700","50","163","54","368","8","546","373","1","491","8","561","6","5329","4"
"3972","88","132","73","325","10","262","379","1","303","6","464","5","6020","3"
"2460","97","142","52","224","8","785","370","1","424","7","1065","1","5636","2"
"3972","92","104","67","435","10","667","378","1","403","8","426","10","6573","2"
"4675","85","76","33","526","10","793","212","1","295","6","748","9","7469","4"
"2285","69","162","71","323","3","917","310","1","514","8","721","3","5387","3"
"3010","55","196","98","297","4","793","371","1","582","7","392","1","5807","2"
"3536","68","115","46","430","5","312","255","1","579","7","471","10","5835","2"
"2178","58","132","55","249","9","537","325","1","399","8","1101","3","5055","3"
"2999","81","139","86","412","9","330","322","1","580","8","1051","7","6025","1"
"3768","45","82","42","462","9","721","223","1","227","8","1110","5","6703","3"
"4005","50","131","35","309","6","538","396","1","275","7","1103","4","6860","2"
"2186","98","97","69","334","2","612","356","1","354","7","656","10","4782","2"
"2103","65","168","70","292","5","667","392","1","277","6","954","2","5002","1"
"4873","97","84","67","253","6","550","276","1","298","7","1036","5","7553","3"
"3857","68","152","51","459","5","845","389","1","437","8","1136","4","7412","1"
"2673","69","159","49","329","7","336","348","1","457","8","824","5","5265","2"
"4417","54","81","57","255","3","397","267","1","489","8","700","7","6736","3"
"2905","100","198","44","326","8","381","394","1","556","6","975","1","5895","4"
"4872","98","92","60","28","5","851","349","1","531","8","492","3","7390","3"
"4311","78","100","32","130","7","900","355","1","475","8","173","5","6575","4"
"3404","64","189","94","100","8","816","322","1","592","7","513","6","6116","3"
"3317","83","185","44","395","4","397","343","1","551","8","405","5","5738","3"
"4206","66","133","55","249","1","490","244","1","439","7","177","9","6077","3"
"4531","62","161","33","96","7","262","272","1","209","6","64","8","5712","3"
"4031","96","95","44","492","1","772","236","1","492","7","151","6","6424","2"
"4734","70","195","96","254","2","964","319","1","215","8","192","4","7054","3"
"4255","83","81","51","253","8","703","216","1","485","8","440","4","6588","4"
"4064","91","127","96","409","10","372","394","1","204","8","664","9","6449","3"
"4695","86","200","76","411","2","939","304","1","597","7","541","5","7864","4"
"4894","100","80","35","248","6","472","306","1","228","8","387","10","6775","1"
"3822","58","145","64","441","9","708","295","1","231","7","664","4","6449","2"
"4752","81","193","38","449","8","360","242","1","587","8","708","3","7430","3"
"4161","64","180","89","321","1","311","241","1","562","6","379","7","6323","3"
"4201","45","152","98","43","6","607","308","1","581","6","228","4","6280","3"
"3935","96","181","30","369","5","350","221","1","392","7","250","6","5843","1"
"2898","63","98","95","250","6","805","282","1","435","7","403","4","5347","2"
"3457","62","90","46","315","5","591","251","1","578","8","818","9","6231","4"
"4731","69","89","94","498","9","350","223","1","296","7","259","3","6629","2"
"2425","77","156","34","264","11","924","208","1","378","7","89","9","4583","2"
"4961","81","145","86","433","4","334","247","1","392","7","190","1","6882","3"
"2195","86","169","96","444","2","607","216","1","426","7","928","10","5187","3"
"2574","88","192","56","496","5","757","229","1","516","8","1026","9","5957","3"
"2575","51","121","34","226","1","634","322","1","535","7","55","2","4564","1"
"4949","57","105","45","447","8","890","203","1","518","8","734","10","7975","3"
"4887","92","101","31","137","4","911","343","1","386","8","1071","1","7973","2"
"3568","94","185","62","392","5","778","267","1","557","6","754","7","6676","3"
"4654","71","190","44","323","10","893","263","1","558","8","873","5","7893","1"
"2487","100","155","59","175","11","853","381","1","351","8","213","3","4797","3"
"4577","91","166","96","373","0","500","283","1","400","8","575","9","7079","3"
"3184","54","107","37","221","11","358","256","1","395","8","599","6","5237","2"
"3573","89","109","67","248","6","260","320","1","338","6","550","10","5577","3"
"4964","79","139","63","177","6","629","345","1","466","6","99","7","6981","3"
"2305","68","108","100","166","7","354","252","1","569","7","313","5","4255","2"
"4276","53","144","92","365","0","641","290","1","317","7","512","3","6701","3"
"3393","79","150","84","101","4","320","378","1","475","7","114","6","5112","4"
"3390","45","170","57","141","7","700","222","1","383","8","769","10","5903","4"
"2631","75","145","85","10","2","916","310","1","506","7","260","7","4955","3"
"2877","53","100","33","101","11","930","316","1","350","8","755","7","5542","2"
"2734","65","132","72","303","4","596","264","1","558","7","1027","4","5767","3"
"4458","67","115","68","488","11","878","284","1","370","7","112","2","6861","4"
"3392","67","95","63","54","8","420","376","1","297","6","116","2","4897","3"
"4907","52","93","34","428","9","406","306","1","269","7","514","6","7032","4"
"3560","64","111","44","119","10","368","205","1","589","6","106","5","5188","2"
"4366","84","107","37","441","0","425","251","1","309","7","255","5","6288","3"
"4944","68","186","72","311","6","418","217","1","297","6","469","9","7004","3"
"4844","71","85","37","72","9","432","361","1","238","7","331","2","6490","2"
"2290","46","140","82","93","8","445","299","1","379","8","956","1","4748","2"
"3577","66","84","90","502","4","645","265","1","322","6","674","7","6243","1"
"3174","76","134","50","252","7","410","324","1","583","8","58","6","5083","3"
"3302","59","83","44","276","4","742","346","1","529","6","1075","7","6474","1"
"2930","80","130","89","338","6","780","247","1","569","6","482","2","5660","1"
"4741","67","157","73","508","11","671","343","1","474","7","1073","7","8133","3"
"4302","67","129","47","188","0","458","259","1","434","6","767","9","6667","2"
"2924","56","183","69","168","6","707","310","1","536","7","525","5","5497","3"
"3163","75","95","89","447","0","902","273","1","482","8","1117","5","6657","3"
"3068","65","105","41","344","8","316","337","1","332","8","803","2","5430","4"
"4135","100","141","57","331","8","483","300","1","347","6","523","10","6442","3"
"4599","81","120","30","203","3","491","300","1","274","8","575","1","6686","3"
"3450","92","169","94","49","6","769","331","1","246","7","451","10","5675","4"
"2188","71","196","82","370","11","398","260","1","253","7","475","7","4319","1"
"2180","47","117","65","469","3","577","335","1","400","7","764","10","4975","3"
"3780","55","197","87","357","9","830","390","1","417","6","162","8","6299","3"
"4440","56","146","60","283","6","702","334","1","385","7","278","2","6700","3"
"2632","90","123","75","72","9","438","265","1","370","8","489","6","4578","2"
"4584","69","138","89","148","6","992","386","1","238","8","541","4","7204","3"
"2001","50","155","58","315","7","433","276","1","544","8","979","7","4834","3"
"3576","47","183","68","24","4","329","202","1","324","6","793","6","5563","4"
"4515","56","182","41","2","9","803","383","1","528","8","40","3","6571","4"
"3040","71","105","32","400","2","984","252","1","254","6","167","6","5320","4"
"2064","55","82","33","119","6","953","232","1","377","8","940","10","4880","4"
"3877","83","90","63","45","9","529","303","1","452","8","1135","6","6601","1"
"2788","67","132","96","355","8","704","254","1","220","6","392","7","5030","2"
"3167","61","126","82","346","0","666","208","1","453","6","830","2","5948","2"
"4649","81","132","32","152","3","500","332","1","236","8","829","6","6961","4"
"3073","98","170","63","50","7","776","357","1","362","6","647","5","5615","1"
"3053","98","104","39","14","6","802","252","1","279","8","930","7","5593","4"
"3922","48","184","77","230","11","474","215","1","598","8","989","9","6766","2"
"3307","71","125","86","340","10","673","338","1","573","8","254","1","5787","2"
"4299","68","104","58","304","11","452","207","1","544","7","994","7","7056","3"
"3500","95","110","41","318","6","878","309","1","403","6","496","6","6169","2"
"3808","73","189","68","336","7","603","339","1","302","8","188","3","5925","4"
"2253","83","119","55","139","7","866","215","1","451","6","871","7","5073","2"
"4828","66","162","39","237","4","302","332","1","365","6","154","6","6502","2"
"2231","45","109","65","454","7","890","204","1","378","7","757","4","5152","2"
"4000","99","110","58","122","1","661","382","1","529","7","436","4","6410","4"
"4638","84","81","41","211","9","847","276","1","293","8","556","4","7049","4"
"3098","60","198","98","208","2","889","314","1","403","8","965","4","6248","4"
"4990","91","139","50","416","8","821","209","1","322","8","655","7","7717","2"
"2377","95","76","95","493","5","906","217","1","315","6","563","1","5150","3"
"3870","71","186","98","434","6","658","363","1","530","7","493","2","6719","3"
"2885","61","138","48","132","11","830","257","1","478","6","410","4","5261","4"
"2273","49","158","85","183","9","588","397","1","339","8","335","8","4433","3"
"3003","57","155","71","62","2","915","313","1","298","8","1148","8","6041","2"
"2120","73","156","75","303","0","333","386","1","566","7","605","4","4629","4"
"4053","74","178","57","517","2","828","215","1","286","6","47","1","6265","3"
"3819","77","144","99","106","4","986","301","1","333","6","157","9","6042","1"
"3129","85","124","31","181","11","596","294","1","337","8","195","8","5000","4"
"3052","94","181","76","331","11","767","215","1","279","8","891","9","5915","4"
"2781","53","108","55","117","11","973","260","1","349","7","653","8","5376","2"
"3106","46","88","68","361","11","857","388","1","241","8","323","6","5504","3"
"2066","75","97","60","284","11","778","334","1","287","8","1085","10","5096","4"
"3168","68","95","69","503","10","721","318","1","451","7","261","3","5675","1"
"3838","90","79","74","75","11","584","366","1","257","8","103","9","5495","1"
"3725","96","110","63","522","1","276","399","1","309","6","799","5","6312","2"
"4194","68","174","53","77","11","890","305","1","544","8","354","1","6680","1"
"4915","92","139","62","431","1","574","309","1","291","7","1081","9","7912","4"
"4923","64","154","47","155","3","959","317","1","597","7","669","5","7901","1"
"4818","49","125","33","152","1","601","374","1","533","6","121","5","6819","1"
"3725","99","88","84","297","5","605","264","1","327","8","62","8","5573","1"
"4459","55","172","99","332","4","628","376","1","444","7","69","1","6647","2"
"4620","67","92","77","417","2","510","204","1","459","6","482","7","6944","4"
"4270","74","181","43","320","1","902","361","1","402","6","1010","7","7578","3"
"3874","65","119","84","106","6","870","261","1","515","8","983","6","6898","3"
"2877","68","109","57","16","10","688","364","1","306","8","1038","10","5552","2"
"3268","93","116","64","289","2","251","266","1","426","7","669","3","5455","2"
"4115","62","135","65","192","4","271","299","1","297","6","161","6","5614","4"
"3683","76","151","72","446","10","802","334","1","285","8","519","1","6388","4"
"3318","60","106","51","468","0","676","213","1","316","8","1103","5","6325","4"
"2853","100","144","94","387","5","270","325","1","321","6","862","5","5373","3"
"4483","78","159","94","449","10","730","234","1","502","6","671","2","7419","2"
"4737","98","88","75","390","6","330","317","1","290","6","401","6","6745","3"
"4907","85","133","53","133","2","915","394","1","253","8","979","3","7866","4"
"2651","71","133","95","321","8","476","265","1","541","6","759","2","5329","2"
"2404","47","199","74","368","2","455","272","1","274","7","811","10","4924","2"
"3473","68","107","57","389","11","518","332","1","558","6","1070","2","6592","3"
"2247","84","177","93","289","11","392","347","1","567","6","726","2","4942","3"
"2352","97","87","82","439","1","896","354","1","354","6","803","4","5476","3"
"2779","72","104","95","489","8","309","390","1","589","6","374","6","5222","4"
"2069","72","89","76","436","9","831","294","1","595","8","948","3","5431","3"
"2622","68","163","93","93","8","276","373","1","271","7","953","3","4931","3"
"2072","71","133","79","121","0","846","350","1","344","7","884","7","4915","4"
"2761","50","114","77","441","10","929","330","1","202","6","1128","3","6052","3"
"4335","47","146","54","20","8","506","389","1","511","6","540","5","6568","4"
"3444","50","181","46","525","11","831","226","1","566","6","55","9","5951","3"
"2510","73","137","56","362","6","364","242","1","362","8","994","5","5120","3"
"3070","88","75","65","479","4","986","294","1","368","8","691","8","6137","3"
"4087","49","109","46","306","11","695","342","1","324","7","710","2","6689","3"
"3872","77","90","66","514","10","908","214","1","496","6","95","3","6352","3"
"2747","92","76","47","262","3","345","288","1","227","6","229","7","4330","3"
"3958","48","178","63","369","7","896","332","1","326","8","202","6","6394","3"
"2901","58","135","88","194","11","675","317","1","241","7","165","2","4795","4"
"4782","45","188","57","71","10","711","273","1","513","6","537","6","7200","1"
"4280","47","182","65","171","3","441","340","1","456","6","166","9","6167","1"
"4184","71","193","89","451","6","772","247","1","340","6","580","5","6945","2"
"2375","55","144","68","19","5","512","354","1","332","7","202","5","4079","2"
"2752","85","89","84","239","10","401","291","1","488","8","339","9","4796","4"
"2858","68","144","85","471","2","284","247","1","397","8","429","7","5001","4"
"4807","72","119","80","475","1","759","276","1","414","7","1122","5","8138","2"
"2709","71","164","86","307","1","797","333","1","201","7","72","4","4753","3"
"3868","53","87","96","281","9","435","308","1","462","8","625","1","6234","3"
"2205","50","173","55","447","8","988","201","1","378","7","1074","6","5593","3"
"4723","77","145","32","529","6","917","333","1","340","8","1120","10","8241","3"
"2927","71","108","57","142","4","858","344","1","592","6","841","4","5955","3"
"3185","63","146","46","299","6","558","216","1","410","7","403","6","5346","1"
"4649","89","166","44","180","5","682","215","1","548","6","889","10","7484","4"
"2375","84","118","82","203","1","367","282","1","247","7","184","8","3959","2"
"3347","92","134","37","75","4","539","332","1","561","6","815","7","5950","3"
"4973","88","196","48","521","2","738","259","1","468","7","808","6","8115","3"
"2408","65","128","87","273","9","280","257","1","570","8","376","5","4467","2"
"3728","53","79","76","348","6","890","332","1","532","6","568","9","6628","3"
"4582","67","153","74","469","3","957","224","1","376","6","637","5","7554","2"
"3685","54","153","100","17","11","800","215","1","576","8","1133","6","6759","3"
"3472","90","155","55","214","9","838","312","1","533","8","458","7","6152","4"
"3709","60","130","94","116","10","425","387","1","520","7","330","5","5794","2"
"2312","75","116","73","422","4","430","379","1","502","7","446","2","4769","4"
"4354","50","111","51","155","5","637","336","1","417","6","49","8","6180","2"
"4962","57","84","60","269","6","352","214","1","439","7","787","2","7240","4"
"4890","46","78","78","168","6","402","288","1","211","7","789","10","6974","1"
"4741","97","85","53","206","6","995","341","1","294","7","74","8","6908","2"
"2198","53","102","79","280","11","857","231","1","436","8","847","10","5113","4"
"2711","45","181","31","275","8","855","292","1","369","6","1105","3","5882","3"
"2499","48","199","52","218","7","384","384","1","354","6","115","2","4269","2"
"3162","66","196","41","521","11","285","236","1","527","7","567","5","5625","3"
"4235","51","88","41","457","6","423","259","1","200","8","572","2","6343","1"
"2839","54","78","50","8","2","708","347","1","207","7","613","8","4922","4"
"3108","55","154","58","83","8","850","381","1","401","8","1048","10","6165","3"
"2730","83","149","74","126","6","779","231","1","531","6","88","9","4813","3"
"2288","59","177","63","415","1","728","396","1","206","6","837","1","5178","4"
"2564","79","144","94","252","11","338","372","1","570","7","147","5","4584","1"
"3497","55","117","68","314","11","633","249","1","374","6","861","1","6187","3"
"2774","67","134","91","387","9","680","341","1","210","8","580","5","5287","1"
"4273","75","139","90","20","7","758","311","1","513","7","299","5","6498","3"
"3185","83","145","76","146","9","348","237","1","416","8","927","4","5585","2"
"4387","67","140","49","249","3","542","244","1","514","7","1030","1","7234","4"
"3163","97","102","100","341","5","634","340","1","373","6","662","7","5831","2"
"2202","90","97","57","412","10","745","202","1","362","8","820","9","5015","3"
"4325","85","116","62","485","11","960","371","1","404","7","483","3","7313","3"
"3874","65","143","50","274","6","768","310","1","236","6","799","2","6534","1"
"3152","81","76","37","86","7","762","309","1","418","8","360","6","5303","2"
"3226","54","93","93","112","7","610","359","1","374","8","778","6","5721","3"
"3727","53","133","89","389","6","348","281","1","302","6","1148","6","6489","2"
"2148","48","152","74","256","2","828","215","1","371","6","545","6","4652","1"
"2832","94","81","32","475","6","891","329","1","374","7","161","7","5290","4"
"2989","88","138","72","206","1","726","229","1","420","7","523","1","5401","1"
"3463","95","160","44","288","8","553","286","1","591","8","868","5","6370","4"
"3267","94","122","60","294","8","764","354","1","363","8","874","9","6218","4"
"2193","55","102","57","105","8","964","273","1","514","8","264","5","4549","3"
"2557","72","163","70","154","4","634","281","1","250","6","163","9","4364","3"
"2442","99","149","30","478","10","901","245","1","565","8","106","3","5037","2"
"2683","51","146","40","73","8","301","395","1","337","6","644","4","4689","3"
"2716","92","108","61","270","6","669","392","1","467","6","1082","5","5875","4"
"2114","81","185","83","87","2","891","348","1","351","6","614","9","4772","2"
"4541","87","108","67","329","3","252","300","1","585","8","750","9","7040","2"
"2627","66","141","50","166","5","311","397","1","578","8","172","10","4532","3"
"2304","72","117","82","486","1","652","390","1","535","7","816","2","5465","3"
"4370","75","169","91","364","8","317","287","1","472","7","1064","2","7227","4"
"2308","98","152","80","520","2","944","333","1","593","8","482","1","5522","4"
"3077","76","176","82","211","10","255","265","1","397","6","1095","1","5652","3"
"2814","94","136","39","277","9","988","391","1","432","7","536","7","5731","3"
"2947","80","146","31","84","7","538","346","1","471","7","895","1","5554","3"
"2034","92","144","89","53","3","701","366","1","341","6","468","10","4308","3"
"3723","48","176","41","109","11","789","297","1","414","8","739","9","6365","3"
"3992","57","183","93","443","2","457","386","1","324","6","283","7","6234","2"
"4918","56","167","59","497","8","637","277","1","457","8","842","2","7929","3"
"3471","99","96","51","201","10","982","321","1","374","6","1097","7","6716","3"
"3273","67","128","62","227","10","669","311","1","476","8","153","9","5394","3"
"3323","92","191","53","145","4","381","272","1","546","6","675","10","5699","1"
"4275","46","195","74","105","2","958","259","1","523","6","1079","1","7524","1"
"3455","45","165","85","467","10","691","290","1","401","6","661","6","6283","3"
"3040","46","139","40","497","3","293","307","1","374","8","845","1","5594","3"
"3465","88","93","99","216","3","379","363","1","501","7","926","8","6149","2"
"4075","98","162","100","248","10","854","235","1","482","6","566","5","6842","3"
"2409","73","137","88","46","6","519","349","1","320","8","807","8","4771","2"
"3996","91","160","76","308","2","669","326","1","424","7","1026","10","7096","3"
"2809","99","196","96","225","5","653","378","1","300","7","1076","10","5855","2"
"4728","83","200","51","302","7","431","267","1","211","7","628","2","6918","4"
"3785","53","75","90","113","2","737","324","1","279","8","993","8","6468","1"
"3961","54","195","31","416","0","944","319","1","236","8","556","9","6730","3"
"3526","86","116","68","79","4","319","212","1","362","7","155","9","4944","2"
"3546","52","168","49","471","4","612","354","1","303","8","439","9","6016","2"
