"TDS","NO2+NO3","Ca","Mg","Na","K","Cl","SO4","F","HCO3","pH_GEN","HAR_Total","SAR","WQI","ClassLabel-No"
"331","11","28","14.58","78","0.1","18","18","0.3","198.929","8.5","130","2.977352","839.386352","1"
"1218","14","140","194.4","25","0.1","514","75","0.2","341.6","8.5","1150","0.3207838","3681.1207838","1"
"400","4","46","42.525","39","0.1","57","33","0.5","268.377","7.8","290","0.9965997","1189.2985997","1"
"379","12","14.4","30.132","92","0.1","18","22","0.8","308.27","8.6","160","3.164608","1048.466608","1"
"1177","14","100","12.15","320","0.1","532","1","0.7","97.6","8.7","300","8.042759","2571.292759","3"
"501","6","66","20.655","90","0.1","124","60","0.08","225.7","7.8","250","2.477562","1353.812562","1"
"516","3","98","30.375","55","0.1","71","35","0.22","427","7.5","370","1.244556","1614.439556","1"
"574","4","26","29.16","156","0.1","124","70","0.41","195.2","8.6","185","4.990881","1377.460881","2"
"328","4","56","29.16","16","0.1","46","32","0.26","210.9439","8.3","260","0.4318576","991.1957576","1"
"802","9","36","57.105","184","0.1","216","120","0.22","298.9","8.2","325","4.441067","2060.966067","2"
"333","5","40","44.955","14","0.1","57","24","0.44","210.9439","8.3","285","0.3608643","1023.0997643","1"
"502","2","30","92.34","28","0.1","117","28","0.71","396.5","8.3","455","0.5711134","1660.5211134","1"
"1052","16","48","48.6","297","0.1","316","13","0.65","335.5","8.6","320","7.224848","2462.674848","3"
"281","5","64","10.935","16","0.1","53","11","0.37","166.7723","8.3","205","0.4864512","821.9637512","1"
"282","7","48","18.225","12","6","57","46","0.1","103.9727","8","195","0.374024","783.671724","1"
"615","4","34","43.74","122","26","135","65","0.6","200.08","8.6","265","3.261101","1522.281101","2"
"261","3","38","24.3","8","25","39","23","0.6","144.3973","8.6","195","0.2493223","770.1466223","1"
"920","20","36","82.62","157","23","312","122","0.5","134.2","8.5","430","3.294214","2249.114214","2"
"493","4","64","52.245","46","0.1","96","53","0.1","266.78","8.1","375","1.033733","1459.358733","1"
"358","4","32","47.385","32","0.1","35","20","0.2","281.6046","8.1","275","0.8396533","1094.2292533","1"
"1096","18","62","40.095","308","7","305","4","0.2","335.5","8.5","320","7.493128","2511.788128","3"
"1291","26","136","109.35","147","30","553","131","0.1","140.3","8.1","790","2.275995","3364.125995","3"
"476","3","48","19.44","87","24","142","54","0.05","143.8859","7.9","200","2.677529","1207.953429","2"
"947","15","114","15.795","198","18","365","85","0.1","36.6","8.4","350","4.60723","2157.50223","3"
"424","4","14","32.805","97","0.1","113","46","0.3","167.4264","8.2","170","3.236923","1080.068323","1"
"277","4","26","24.3","17","25","46","36","0.4","137.3246","8.3","165","0.5759187","766.9005187","1"
"692","4","14","71.685","145","16","135","83","0.4","427","8.2","330","3.472638","1929.757638","2"
"773","10","8","4.86","294","0.1","110","59","0.5","512.4","8.2","40","20.23068","1840.29068","3"
"383","3","10","66.825","44","0.1","78","23","0.7","239.2259","8.4","300","1.105178","1157.356078","1"
"1139","17","5.2","73.386","320","3","383","9","5","201.3","8.8","315","7.84367","2487.52967","3"
"1217","5","108","53.46","282","1","539","80","0.1","262.3","7.5","490","5.544508","3050.904508","3"
"1391","20","120","43.74","311","19","638","82","0.1","176.9","7.6","480","6.178441","3295.518441","3"
"637","3","34","27.945","150","43","135","48","0.26","372.1","8.2","200","4.615746","1663.120746","3"
"242","3","36","20.655","16","0.1","35","32","0.37","142.7934","8.2","175","0.52638","711.64478","1"
"781","12","66","46.17","173","0.1","170","62","0.3","420.9","8","355","3.995877","2098.465877","2"
"586","6","70","69.255","51","0.1","131","55","0.46","366","8","460","1.034762","1803.849762","1"
"1101","18","66","48.6","299","4","280","15","0.83","616.1","7.9","365","6.810834","2828.240834","3"
"641","4","70","24.3","138","0.1","202","55","0.1","268.4","8","275","3.622063","1689.522063","2"
"1145","20","92","49.815","243","25","401","93","0.05","305","8.2","435","5.07067","2822.13567","3"
"393","2","42","38.88","36","33","53","44","0.94","222.3063","8.1","265","0.9623534","1139.1886534","2"
"266","2","48","18.225","25","0.1","35","40","0.83","148.5536","8","195","0.7792167","787.4878167","1"
"614","8","26","46.17","161","0.1","142","77","0.99","134.2","8.4","255","4.386912","1477.246912","2"
"226","2","28","17.01","39","0.1","35","31","0.58","108.6513","8.1","140","1.434478","636.875778","1"
"1022","13","34","52.245","321","2","287","35","1.74","323.3","8.5","300","8.064138","2407.849138","3"
"4222","54","94","86","76","1","640","353","1","386","6","350","2","6271","1"
"2223","80","196","52","234","6","549","306","1","416","7","382","1","4453","3"
"4799","72","179","87","471","6","444","236","1","463","8","287","10","7063","4"
"3691","60","84","72","317","4","628","273","1","377","7","891","9","6414","3"
"3099","49","189","82","236","2","938","287","1","464","6","472","8","5833","2"
"2990","60","132","78","489","10","694","254","1","300","7","907","10","5932","4"
"3557","60","110","43","261","0","379","336","1","474","8","914","2","6145","2"
"3832","63","199","91","71","9","809","293","1","407","7","499","7","6288","3"
"3760","79","101","50","519","10","997","341","1","508","7","416","10","6799","2"
"4180","62","117","98","390","1","682","290","1","232","6","1059","2","7120","2"
"4784","46","134","94","221","2","615","378","1","425","6","877","4","7587","4"
"4243","79","119","52","55","3","690","309","1","472","8","1009","4","7044","4"
"3519","60","175","79","527","1","463","247","1","340","6","131","5","5554","1"
"3736","56","97","94","270","1","665","343","1","483","6","747","5","6504","3"
"3828","62","79","69","201","8","401","387","1","450","7","78","8","5579","3"
"3501","90","193","78","70","3","360","305","1","276","8","372","3","5260","3"
"2968","73","153","58","108","5","309","214","1","450","6","91","8","4444","4"
"4035","64","132","34","192","11","985","324","1","377","6","1136","4","7301","2"
"2191","89","127","67","484","9","263","356","1","348","8","358","10","4311","3"
"2192","93","147","41","423","6","402","325","1","378","6","120","3","4137","2"
"4010","65","138","96","12","11","545","394","1","448","8","1100","5","6833","2"
"4565","73","129","41","352","8","502","278","1","275","8","1138","3","7373","3"
"3588","55","142","60","2","2","585","216","1","554","6","167","5","5383","3"
"3683","45","143","54","124","2","921","382","1","298","8","408","3","6072","1"
"3077","55","100","31","208","11","951","361","1","441","6","56","6","5304","3"
"2842","61","99","82","472","1","982","377","1","479","8","187","10","5601","2"
"2156","69","83","56","161","10","682","292","1","375","6","1034","7","4932","4"
"2610","87","92","66","366","9","496","200","1","485","8","1103","1","5524","2"
"2238","84","138","60","301","4","335","384","1","493","6","967","4","5015","3"
"2884","72","184","68","97","7","827","282","1","474","8","558","1","5463","3"
"3902","91","105","32","499","0","265","360","1","566","8","730","2","6561","1"
"4217","62","97","62","498","7","535","369","1","375","7","705","2","6937","2"
"2175","65","104","87","233","1","339","225","1","266","6","1070","9","4581","3"
"3716","93","174","97","351","5","462","317","1","558","7","1123","7","6911","2"
"2543","100","113","32","83","3","423","332","1","555","7","423","3","4618","3"
"2203","94","77","55","408","3","647","271","1","206","8","952","6","4931","2"
"4549","92","105","84","89","10","876","228","1","470","7","1123","1","7635","1"
"3373","73","191","66","353","7","955","269","1","353","8","247","3","5899","3"
"2380","87","182","92","343","9","278","361","1","431","7","908","1","5080","3"
"3571","69","173","47","529","8","781","334","1","583","8","820","3","6927","2"
"3711","68","102","99","389","2","532","259","1","550","7","570","10","6300","2"
"4778","95","176","92","211","3","809","228","1","471","8","42","2","6916","3"
"2983","89","134","81","133","3","662","312","1","528","6","228","10","5170","3"
"2162","59","162","31","259","7","844","234","1","299","7","566","1","4632","1"
"3634","86","159","94","66","1","825","217","1","431","7","60","3","5584","4"
"4401","100","123","90","69","10","391","204","1","358","8","1037","2","6794","2"
"2466","52","110","47","261","11","596","293","1","234","8","722","8","4809","4"
"3375","63","113","63","521","4","315","384","1","331","7","152","7","5336","2"
"4173","51","113","59","478","10","939","260","1","364","8","132","2","6590","3"
"2696","71","178","46","102","8","930","385","1","554","8","390","10","5379","4"
"3931","97","103","39","103","2","862","316","1","324","7","193","5","5983","2"
"2764","100","162","97","62","8","703","372","1","347","8","335","1","4960","3"
"4477","97","193","54","41","6","721","317","1","528","8","107","9","6559","3"
"3520","49","161","35","142","1","311","277","1","358","6","860","6","5727","3"
"2276","97","160","80","500","8","715","205","1","367","6","860","1","5276","2"
"2888","95","193","62","527","11","562","282","1","359","7","363","8","5358","3"
"2046","63","108","67","185","6","444","357","1","590","7","619","1","4494","3"
"4969","48","142","84","121","6","954","366","1","450","8","361","5","7515","3"
"2960","90","198","79","434","10","357","257","1","362","8","217","4","4977","4"
"3101","69","190","65","50","1","440","293","1","597","6","262","8","5083","2"
"4681","86","76","90","143","3","350","335","1","452","6","207","3","6433","3"
"4823","54","171","68","455","8","468","367","1","587","6","53","5","7066","3"
"2518","78","147","69","241","11","834","272","1","494","6","960","2","5633","3"
"4183","98","144","91","6","3","569","374","1","373","6","224","1","6073","4"
"4346","54","121","34","231","9","829","299","1","523","6","270","4","6727","3"
"4332","51","97","32","529","2","306","204","1","546","6","448","8","6562","3"
"4519","94","194","83","333","1","987","377","1","592","8","923","8","8120","3"
"4595","95","195","46","416","5","761","394","1","436","8","154","9","7115","3"
"2134","66","157","33","373","1","384","328","1","585","7","1111","5","5185","3"
"3624","100","170","95","488","3","306","269","1","313","8","208","9","5594","3"
"4969","64","193","57","372","11","564","338","1","450","8","646","6","7679","3"
"2311","80","107","50","504","10","449","374","1","492","6","158","8","4550","1"
"2432","67","157","64","517","4","288","220","1","416","7","330","9","4512","3"
"3785","47","167","67","39","5","825","228","1","454","7","144","7","5776","2"
"3816","61","191","100","161","9","446","325","1","334","6","911","8","6369","4"
"3516","80","102","75","455","0","652","305","1","553","8","753","2","6502","1"
"3763","86","172","70","442","0","678","287","1","390","8","647","4","6548","3"
"3728","70","199","53","461","11","846","302","1","443","8","93","2","6217","4"
"2052","59","168","64","283","11","678","275","1","265","8","111","6","3981","4"
"3605","75","125","40","324","0","733","283","1","419","7","657","3","6272","3"
"4425","49","136","72","509","6","419","254","1","563","7","144","8","6593","3"
"3106","47","108","93","390","7","419","375","1","471","8","177","10","5212","3"
"2437","89","166","96","390","2","305","328","1","236","7","1033","7","5097","3"
"3073","89","111","64","117","4","391","300","1","241","6","788","9","5194","3"
"4827","98","132","39","265","2","636","230","1","204","8","634","7","7083","3"
"3588","82","104","96","120","10","326","344","1","277","6","224","7","5185","1"
"3858","59","89","52","123","10","291","395","1","554","8","370","10","5820","2"
"2822","67","80","61","198","1","364","352","1","236","8","844","5","5039","4"
"4158","65","191","52","368","10","784","289","1","568","6","498","8","6998","3"
"4023","72","76","35","143","7","404","243","1","578","7","719","4","6312","3"
"2443","63","96","59","346","1","586","250","1","351","6","603","3","4808","1"
"4784","51","80","71","397","0","639","243","1","445","8","555","6","7280","2"
"4897","52","76","91","133","9","570","234","1","363","7","913","4","7350","3"
"3416","68","131","73","42","5","473","233","1","598","8","917","5","5970","4"
"3082","48","103","67","490","3","786","267","1","442","7","859","1","6156","1"
"3838","74","196","99","158","11","785","212","1","482","6","656","6","6524","2"
"2925","88","180","93","175","2","1000","285","1","377","6","526","9","5667","4"
"2921","65","115","72","356","8","973","251","1","392","8","233","4","5399","3"
"3922","81","154","97","155","7","430","284","1","280","8","387","10","5816","1"
"3586","63","96","33","266","4","333","243","1","409","6","441","8","5489","4"
"4859","99","189","76","419","11","961","385","1","367","7","767","1","8142","3"
"3123","56","150","44","67","6","450","237","1","279","8","312","1","4734","3"
"4121","100","161","73","107","3","366","209","1","214","8","655","4","6022","3"
"2915","71","103","53","358","4","793","338","1","251","7","1050","3","5947","3"
"4804","79","189","43","169","5","350","216","1","465","6","228","7","6562","4"
"3910","45","92","49","284","8","642","240","1","320","7","705","4","6307","3"
"3735","66","86","88","452","9","827","290","1","442","6","1129","2","7133","1"
"3650","61","98","43","303","11","281","225","1","207","7","80","6","4973","4"
"2451","48","101","71","305","4","773","375","1","500","7","774","6","5416","1"
"2526","87","190","54","112","11","980","318","1","255","8","853","10","5405","3"
"4609","95","194","76","385","8","271","272","1","576","7","552","3","7049","1"
"3341","83","189","35","419","0","884","212","1","491","8","59","6","5728","4"
"4860","80","165","78","512","0","899","348","1","576","6","608","8","8141","3"
"4844","83","105","87","290","8","306","234","1","203","6","951","4","7122","3"
"4456","100","148","98","328","8","413","386","1","369","6","696","7","7016","1"
"4258","69","78","48","262","9","625","291","1","210","6","542","8","6407","3"
"4065","58","187","64","462","8","329","257","1","385","8","787","2","6613","3"
"3610","99","162","47","431","2","821","305","1","535","8","464","3","6488","4"
"2605","92","153","41","12","7","923","263","1","530","6","537","9","5179","4"
"2579","60","81","97","102","8","567","395","1","233","8","1025","2","5158","4"
"3127","64","81","99","381","0","454","296","1","447","7","838","10","5805","4"
"2564","93","149","86","39","2","306","208","1","570","8","195","8","4229","3"
"3378","69","192","97","380","5","695","354","1","285","8","143","9","5616","3"
"2171","97","174","58","256","9","688","307","1","549","7","651","7","4975","3"
"4799","91","160","87","79","7","641","224","1","459","6","948","6","7508","4"
"2674","90","102","76","94","8","943","265","1","221","8","1022","4","5508","3"
"2588","100","128","67","142","11","821","220","1","377","8","708","5","5176","3"
"2578","74","113","42","460","4","578","215","1","260","8","571","10","4914","3"
"2638","83","79","47","475","3","503","388","1","416","8","756","2","5399","1"
"4713","77","175","34","213","5","510","305","1","264","8","887","9","7201","3"
"3611","56","85","96","428","4","516","393","1","405","6","186","1","5788","2"
"3905","52","83","51","106","9","600","267","1","339","7","825","8","6253","2"
"2033","49","164","52","281","2","880","395","1","268","7","441","8","4581","4"
"4058","97","110","80","189","6","716","350","1","347","7","294","10","6265","2"
"3228","90","112","84","69","6","314","236","1","449","7","1064","1","5661","3"
"2130","97","84","30","276","10","713","300","1","310","8","208","6","4173","3"
"4756","92","118","92","321","1","318","236","1","264","7","1105","4","7315","4"
"3277","85","75","96","460","5","960","265","1","320","8","286","4","5842","3"
"4594","85","79","61","155","3","674","370","1","208","6","566","5","6807","4"
"2320","84","81","69","78","3","923","339","1","305","8","745","7","4963","3"
"3918","90","138","95","466","0","517","396","1","476","8","456","6","6567","3"
"2867","93","177","66","427","3","850","243","1","553","6","730","6","6022","2"
"4229","77","137","71","444","7","977","291","1","208","8","202","2","6654","3"
"4651","55","159","76","252","3","952","339","1","419","6","118","7","7038","3"
"3252","75","200","46","385","0","494","236","1","329","6","476","7","5507","1"
"4951","69","137","41","231","8","765","259","1","329","6","910","6","7713","2"
"3112","61","159","56","344","7","761","263","1","220","8","668","5","5665","3"
"4287","73","172","90","139","0","458","242","1","257","8","598","10","6335","4"
"3274","71","84","92","51","3","591","337","1","444","7","607","2","5564","3"
"2396","47","83","60","416","6","889","312","1","430","6","261","8","4915","1"
"2238","66","123","41","7","2","645","275","1","582","6","864","5","4855","2"
"4859","45","198","45","418","5","951","205","1","263","6","486","4","7486","2"
"4419","91","77","40","282","8","438","326","1","322","6","1056","7","7073","3"
"2538","98","88","95","191","6","350","319","1","372","8","63","9","4138","3"
"4927","91","89","100","227","0","603","243","1","596","6","216","5","7104","2"
"4446","75","94","52","131","10","755","241","1","217","8","930","3","6963","4"
"3697","46","77","83","385","10","755","246","1","227","6","107","3","5643","2"
"2527","73","141","84","164","2","650","293","1","398","6","128","1","4468","2"
"4042","99","164","100","311","5","268","400","1","498","7","134","2","6031","3"
"3521","68","99","61","31","4","830","389","1","244","6","940","5","6199","2"
"3510","66","166","39","428","9","988","270","1","355","8","1127","10","6977","3"
"4694","88","183","58","3","7","350","384","1","526","6","762","10","7072","2"
"3684","86","170","92","233","4","847","366","1","488","8","614","1","6594","2"
"3671","81","157","53","106","2","984","279","1","335","7","158","10","5844","4"
"3761","87","170","75","292","8","307","368","1","469","7","977","5","6527","1"
"4986","85","98","53","360","1","997","274","1","519","6","392","4","7776","4"
"4523","70","114","72","282","0","408","336","1","518","8","43","6","6381","3"
"2370","100","136","59","515","4","528","272","1","589","8","67","4","4653","2"
"4502","49","137","85","325","0","343","378","1","214","8","100","7","6149","2"
"3851","97","158","59","380","7","547","320","1","247","7","697","9","6380","4"
"2475","99","182","47","324","5","424","394","1","271","7","307","6","4542","1"
"2412","77","195","32","321","8","943","292","1","361","7","566","3","5218","4"
"2313","91","80","45","126","6","433","245","1","457","6","745","2","4550","1"
"2163","59","138","73","36","4","703","385","1","561","6","642","1","4772","3"
"3122","45","150","44","461","1","898","285","1","336","7","82","4","5436","4"
"2654","55","177","80","179","3","463","249","1","202","7","257","5","4332","3"
"3745","49","104","70","388","7","804","348","1","203","6","654","6","6385","4"
"2074","79","117","75","198","0","512","286","1","208","7","935","5","4497","2"
"3554","46","103","40","316","11","954","393","1","565","7","956","6","6952","3"
"3907","94","131","98","506","7","859","218","1","221","6","696","6","6750","3"
"4453","95","170","68","430","0","887","340","1","200","8","918","8","7578","3"
